Scores will be of the following order :
  Precision  Recall  F-measure
100   0.2   0.2   0.20000000000000004
101   0.2   0.2   0.20000000000000004
102   0.2   0.2   0.20000000000000004
103   0.2   0.2   0.20000000000000004
104   0.2   0.2   0.20000000000000004
105   0.2   0.2   0.20000000000000004
106   0.2   0.2   0.20000000000000004
107   0.2   0.2   0.20000000000000004
108   0.2   0.2   0.20000000000000004
109   0.2   0.2   0.20000000000000004
110   0.2   0.2   0.20000000000000004
111   0.2   0.2   0.20000000000000004
112   0.2   0.2   0.20000000000000004
113   0.2   0.2   0.20000000000000004
114   0.2   0.2   0.20000000000000004
115   0.2   0.2   0.20000000000000004
116   0.2   0.2   0.20000000000000004
117   0.2   0.2   0.20000000000000004
118   0.2   0.2   0.20000000000000004
119   0.2   0.2   0.20000000000000004
120   0.2   0.2   0.20000000000000004
121   0.2   0.2   0.20000000000000004
122   0.2   0.2   0.20000000000000004
123   0.2   0.2   0.20000000000000004
124   0.2   0.2   0.20000000000000004
125   0.2   0.2   0.20000000000000004
126   0.2   0.2   0.20000000000000004
127   0.2   0.2   0.20000000000000004
128   0.2   0.2   0.20000000000000004
129   0.2   0.2   0.20000000000000004
130   0.2   0.2   0.20000000000000004
131   0.2   0.2   0.20000000000000004
132   0.2   0.2   0.20000000000000004
133   0.2   0.2   0.20000000000000004
134   0.2   0.2   0.20000000000000004
135   0.2   0.2   0.20000000000000004
136   0.2   0.2   0.20000000000000004
137   0.2   0.2   0.20000000000000004
138   0.2   0.2   0.20000000000000004
139   0.2   0.2   0.20000000000000004
140   0.2   0.2   0.20000000000000004
141   0.2   0.2   0.20000000000000004
142   0.2   0.2   0.20000000000000004
143   0.2   0.2   0.20000000000000004
144   0.2   0.2   0.20000000000000004
145   0.2   0.2   0.20000000000000004
146   0.2   0.2   0.20000000000000004
147   0.2   0.2   0.20000000000000004
148   0.2   0.2   0.20000000000000004
149   0.2   0.2   0.20000000000000004
150   0.2   0.2   0.20000000000000004
151   0.2   0.2   0.20000000000000004
152   0.2   0.2   0.20000000000000004
153   0.2   0.2   0.20000000000000004
154   0.2   0.2   0.20000000000000004
155   0.2   0.2   0.20000000000000004
156   0.2   0.2   0.20000000000000004
157   0.2   0.2   0.20000000000000004
158   0.2   0.2   0.20000000000000004
159   0.2   0.2   0.20000000000000004
160   0.2   0.2   0.20000000000000004
161   0.2   0.2   0.20000000000000004
162   0.2   0.2   0.20000000000000004
163   0.2   0.2   0.20000000000000004
164   0.2   0.2   0.20000000000000004
165   0.2   0.2   0.20000000000000004
166   0.2   0.2   0.20000000000000004
167   0.2   0.2   0.20000000000000004
168   0.2   0.2   0.20000000000000004
169   0.2   0.2   0.20000000000000004
170   0.2   0.2   0.20000000000000004
171   0.2   0.2   0.20000000000000004
172   0.2   0.2   0.20000000000000004
173   0.2   0.2   0.20000000000000004
174   0.2   0.2   0.20000000000000004
175   0.2   0.2   0.20000000000000004
176   0.2   0.2   0.20000000000000004
177   0.2   0.2   0.20000000000000004
178   0.2   0.2   0.20000000000000004
179   0.2   0.2   0.20000000000000004
180   0.2   0.2   0.20000000000000004
181   0.2   0.2   0.20000000000000004
182   0.2   0.2   0.20000000000000004
183   0.2   0.2   0.20000000000000004
184   0.2   0.2   0.20000000000000004
185   0.2   0.2   0.20000000000000004
186   0.2   0.2   0.20000000000000004
187   0.2   0.2   0.20000000000000004
188   0.2   0.2   0.20000000000000004
189   0.2   0.2   0.20000000000000004
190   0.2   0.2   0.20000000000000004
191   0.2   0.2   0.20000000000000004
192   0.2   0.2   0.20000000000000004
193   0.2   0.2   0.20000000000000004
194   0.2   0.2   0.20000000000000004
195   0.2   0.2   0.20000000000000004
196   0.2   0.2   0.20000000000000004
197   0.2   0.2   0.20000000000000004
198   0.2   0.2   0.20000000000000004
199   0.2   0.2   0.20000000000000004
200   0.2   0.2   0.20000000000000004
201   0.2   0.2   0.20000000000000004
202   0.2   0.2   0.20000000000000004
203   0.2   0.2   0.20000000000000004
204   0.2   0.2   0.20000000000000004

Average values :
0.1999999999999996   0.1999999999999996   0.19999999999999962
